codigo	nombre	val1d	val2d	classd	val1h	val2h	classh
10109	PUERTO VARAS	0.09	0.20	1	0.27	0.47	2
10108	MAULLIN	0.07	0.20	1	0.44	0.47	3
05301	LOS ANDES	0.10	0.20	1	0.31	0.47	2
10104	FRESIA	0.14	0.20	2	0.56	0.47	4
06117	SAN VICENTE	0.24	0.20	4	0.82	0.47	5
10106	LOS MUERMOS	0.10	0.20	2	0.26	0.47	2
10101	PUERTO MONTT	0.06	0.20	1	0.23	0.47	1
06110	MOSTAZAL	0.06	0.20	1	0.41	0.47	3
10103	COCHAMO	0.07	0.20	1	0.62	0.47	5
10102	CALBUCO	0.07	0.20	1	0.37	0.47	3
15201	ARICA	0.00	0.20	1	0.00	0.47	1
08313	YUMBEL	0.15	0.20	3	0.47	0.47	4
15202		0.00	0.00	0	0.00	0.00	0
02102		0.00	0.00	0	0.00	0.00	0
02103		0.00	0.00	0	0.00	0.00	0
02101	ANTOFAGASTA	0.07	0.20	1	0.23	0.47	1
02104		0.00	0.00	0	0.00	0.00	0
09204	ERCILLA	0.06	0.20	1	0.27	0.47	2
09205	LONQUIMAY	0.05	0.20	1	0.72	0.47	5
09206	LOS SAUCES	0.10	0.20	1	0.30	0.47	2
09207	LUMACO	0.08	0.20	1	0.33	0.47	2
09201	ANGOL	0.09	0.20	1	0.32	0.47	2
09202	COLLIPULLI	0.10	0.20	2	0.49	0.47	4
09203	CURACAUTIN	0.17	0.20	3	0.70	0.47	5
09208	PUREN	0.49	0.20	5	2.34	0.47	5
09209	RENAICO	0.12	0.20	2	0.39	0.47	3
10206	PUQUELDON	0.12	0.20	2	0.76	0.47	5
10207	QUEILEN	0.66	0.20	5	3.47	0.47	5
10204	CURACO DE VELEZ	0.09	0.20	1	0.61	0.47	5
10205	DALCAHUE	0.05	0.20	1	0.27	0.47	2
10202	ANCUD	0.05	0.20	1	0.32	0.47	2
10203	CHONCHI	0.06	0.20	1	0.28	0.47	2
10201	CASTRO	0.07	0.20	1	0.34	0.47	2
10208	QUELLON	0.03	0.20	1	0.19	0.47	1
10209	QUEMCHI	0.04	0.20	1	0.32	0.47	2
13603	ISLA DE MAIPO	0.10	0.20	2	0.40	0.47	3
13602	EL MONTE	0.11	0.20	2	0.32	0.47	2
13601	TALAGANTE	0.08	0.20	1	0.31	0.47	2
13605	PE„AFLOR	0.09	0.20	1	0.31	0.47	2
13604	PADRE HURTADO	0.08	0.20	1	0.31	0.47	2
10105	FRUTILLAR	0.10	0.20	2	0.35	0.47	3
06114	QTA DE TILCOCO	0.00	0.00	0	0.00	0.00	0
15102	CAMARONES	0.00	0.00	0	0.00	0.00	0
05303	RINCONADA	0.08	0.20	1	0.33	0.47	2
15101	ARICA	0.00	0.00	0	0.00	0.00	0
05302	CALLE LARGA	0.07	0.20	1	0.35	0.47	3
06111	OLIVAR	0.15	0.20	2	0.54	0.47	4
05304	SAN ESTEBAN	0.06	0.20	1	0.27	0.47	2
06113	PICHIDEGUA	0.17	0.20	3	0.68	0.47	5
08421	YUNGAY	0.16	0.20	3	0.59	0.47	4
